,gps_time,alt,amb,ch4,ch4d,co,co2,co2d,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
4086,2019-07-31 14:52:58.000,97.7,31.038312577841676,1.987125773821936,2.008469377778127,0.224582499711843,417.8652783040863,428.6089587279648,0.0278587519397804,169.9,50.766769592629885,15974.147591897425,1.1,143.1,43.662690000000005,-79.36737,1007.5,9.880809462220528,24.705925066721434,15.5,26.91456253336072,22.3,172.1,0.2,1.1,10.0
4087,2019-07-31 14:52:59.000,97.2,31.03734646764253,1.9802877798151,2.0183929612764886,0.312726768027735,415.6280353620955,430.48815761170914,0.3874113741685371,168.8,50.96182783513097,15856.164806382443,1.1,140.1,43.66264333333334,-79.36736333333333,1007.5,9.879185719106315,24.70215273343605,15.9,26.916321614791983,22.3,158.2,0.4,0.7,9.8
4088,2019-07-31 14:53:00.000,96.6,31.04177959637441,1.991826681771132,2.010206219513562,0.2608771283256123,416.04714546262136,429.8467203281843,0.1701345554885427,164.4,50.773981718662135,15830.827720436087,1.1,134.1,43.6626,-79.36734666666666,1007.6,9.879755362812366,24.709180103016863,15.3,26.91943305280329,22.3,55.1,344.0,0.9,7.2
4089,2019-07-31 14:53:01.000,96.3,31.04786424658593,1.987532305989016,1.999960824580072,0.3230750694541875,414.9884819538331,427.9177810198232,0.2452078084106478,162.1,50.56618303677321,15966.960941857464,1.1,140.0,43.66256333333333,-79.36732333333333,1007.6,9.880238126906118,24.706629713086976,14.2,26.919625076244696,22.3,12.0,355.2,0.7,6.7
4090,2019-07-31 14:53:02.000,97.5,31.048716818888902,1.9790060503334403,2.0089221802222164,0.1945437786432588,412.9173936805914,429.9506116306951,0.0940829275914257,159.8,50.65138571819151,16119.36102911055,1.1,139.4,43.66253166666666,-79.367305,1007.6,9.880638226777767,24.70400840944445,13.1,26.920757952777738,22.3,12.4,354.3,0.6,6.3
4091,2019-07-31 14:53:03.000,98.3,31.04583475842465,1.9670193130214848,2.0286109382120023,0.0872694192208182,410.6510178012152,434.116690232106,0.0569579921015392,161.1,51.18216410498166,15891.538058534376,1.1,142.8,43.66250166666666,-79.367295,1007.5,9.87933152058238,24.708712241733263,12.9,26.92255858629947,22.3,2.7,357.9,0.6,5.8
4092,2019-07-31 14:53:04.000,97.9,31.047746232063798,1.9990025185074465,2.0117955190055024,0.158644206972455,415.4167633639371,432.3088743430269,0.2963011903710654,165.5,50.785115138386416,15897.256004283225,1.1,147.0,43.66246333333334,-79.367285,1007.6,9.881835467483803,24.7069383664089,12.7,26.924615429009183,22.4,11.4,357.7,0.3,6.8
4093,2019-07-31 14:53:05.000,95.7,31.051703720373585,1.9828916152731728,2.0031976524369477,0.1461693789260907,411.9380189368561,432.05700339278656,0.328166419233966,169.3,50.84603753986933,15906.653875815837,1.1,143.9,43.66242,-79.367285,1007.7,9.881219177016945,24.70939168542028,13.3,26.925332779028015,22.4,77.3,353.7,0.2,7.0
4094,2019-07-31 14:53:06.000,94.4,31.055116772447413,1.988323730779423,2.031574237313013,0.2783031124576148,413.3919614787268,437.8307052466516,0.4039018012658278,170.0,50.69724406091237,15963.263381383753,1.1,144.5,43.66237333333334,-79.36727666666667,1007.6,9.880772135086104,24.704973209410262,14.0,26.92642243880676,22.4,45.4,347.5,0.7,7.0
4095,2019-07-31 14:53:07.000,94.1,31.05265829332994,1.98586006892681,2.0197304978953405,0.101260215504102,412.67012653169616,435.8637977936035,0.3185398923615165,166.3,50.6966644880626,15852.023385005792,1.1,141.7,43.662333333333336,-79.36726166666666,1007.6,9.885906690405548,24.707348590670826,14.0,26.928506481335287,22.4,33.2,354.8,0.6,6.2
